iter	Passed	Remaining
0	146	293767
1	163	162951
2	177	118462
3	194	96953
4	210	83867
5	225	74804
6	239	68233
7	254	63418
8	271	59971
9	287	57128
10	305	55235
11	309	51313
12	327	50035
13	343	48715
14	357	47307
15	368	45656
16	381	44541
17	395	43542
18	405	42317
19	416	41219
20	429	40507
21	443	39904
22	457	39314
23	470	38776
24	484	38292
25	498	37850
26	512	37421
27	525	37027
28	539	36655
29	552	36307
30	563	35787
31	577	35487
32	590	35203
33	601	34760
34	615	34575
35	629	34348
36	644	34195
37	658	34008
38	669	33658
39	683	33487
40	697	33323
41	711	33151
42	724	32986
43	732	32548
44	746	32416
45	756	32137
46	767	31879
47	780	31759
48	788	31394
49	799	31161
50	812	31062
51	827	30987
52	841	30921
53	855	30833
54	869	30762
55	883	30679
56	897	30595
57	913	30577
58	936	30802
59	941	30448
60	960	30536
61	982	30704
62	997	30659
63	1014	30675
64	1022	30445
65	1040	30490
66	1049	30266
67	1068	30347
68	1085	30364
69	1102	30391
70	1115	30294
71	1127	30190
72	1144	30207
73	1160	30199
74	1175	30170
75	1190	30140
76	1205	30103
77	1301	32073
78	1324	32199
79	1362	32693
80	1390	32950
81	1495	34985
82	1551	35839
83	1567	35753
84	1587	35767
85	1667	37105
86	1704	37478
87	1741	37833
88	1765	37897
89	1772	37625
90	1814	38066
91	1852	38426
92	1932	39630
93	1946	39466
94	1951	39138
95	1975	39185
96	1999	39236
97	2012	39066
98	2034	39070
99	2054	39028
100	2079	39106
101	2106	39199
102	2130	39247
103	2178	39706
104	2199	39698
105	2221	39684
106	2241	39656
107	2262	39643
108	2285	39652
109	2321	39896
110	2360	40178
111	2401	40489
112	2425	40509
113	2451	40556
114	2475	40571
115	2492	40483
116	2512	40437
117	2539	40507
118	2547	40267
119	2571	40282
120	2584	40140
121	2588	39853
122	2603	39725
123	2616	39592
124	2630	39464
125	2644	39336
126	2658	39206
127	2672	39080
128	2686	38961
129	2696	38794
130	2707	38625
131	2721	38512
132	2735	38400
133	2749	38287
134	2763	38173
135	2777	38062
136	2787	37907
137	2799	37770
138	2810	37623
139	2821	37480
140	2835	37381
141	2849	37282
142	2853	37055
143	2864	36917
144	2878	36820
145	2882	36600
146	2896	36507
147	2903	36331
148	2917	36242
149	2921	36031
150	2935	35946
151	2943	35782
152	2960	35736
153	2976	35676
154	2990	35597
155	3004	35518
156	3012	35359
157	3023	35244
158	3038	35178
159	3052	35101
160	3066	35022
161	3080	34944
162	3093	34867
163	3101	34718
164	3108	34571
165	3122	34500
166	3136	34429
167	3144	34285
168	3151	34145
169	3165	34075
170	3179	34005
171	3193	33940
172	3207	33875
173	3221	33808
174	3232	33707
175	3246	33645
176	3260	33582
177	3268	33452
178	3282	33397
179	3296	33333
180	3304	33208
181	3318	33146
182	3332	33084
183	3339	32959
184	3350	32870
185	3364	32811
186	3378	32753
187	3392	32695
188	3406	32637
189	3419	32578
190	3427	32460
191	3441	32404
192	3448	32289
193	3462	32234
194	3476	32178
195	3490	32126
196	3504	32074
197	3518	32023
198	3535	31997
199	3547	31928
200	3554	31817
201	3569	31768
202	3583	31717
203	3596	31665
204	3607	31587
205	3621	31542
206	3637	31505
207	3651	31459
208	3665	31412
209	3680	31372
210	3687	31268
211	3702	31222
212	3716	31176
213	3729	31129
214	3743	31081
215	3757	31033
216	3767	30958
217	3782	30918
218	3796	30871
219	3810	30828
220	3824	30786
221	3838	30742
222	3852	30697
223	3866	30651
224	3880	30609
225	3884	30488
226	3891	30395
227	3905	30352
228	3920	30317
229	3930	30250
230	3944	30209
231	3955	30144
232	3969	30103
233	3983	30062
234	3997	30023
235	4011	29983
236	4015	29873
237	4030	29838
238	4044	29800
239	4058	29763
240	4072	29726
241	4083	29664
242	4091	29580
243	4098	29495
244	4112	29460
245	4126	29422
246	4133	29338
247	4144	29279
248	4158	29243
249	4169	29184
250	4183	29151
251	4191	29076
252	4208	29061
253	4213	28966
254	4240	29017
255	4248	28941
256	4265	28926
257	4281	28908
258	4297	28890
259	4314	28875
260	4328	28836
261	4345	28823
262	4361	28806
263	4378	28790
264	4382	28692
265	4399	28676
266	4415	28661
267	4431	28639
268	4447	28620
269	4462	28591
270	4476	28561
271	4487	28508
272	4501	28475
273	4515	28442
274	4529	28410
275	4533	28317
276	4547	28286
277	4562	28264
278	4576	28230
279	4590	28198
280	4604	28169
281	4618	28138
282	4632	28109
283	4646	28077
284	4660	28047
285	4674	28015
286	4682	27946
287	4689	27878
288	4706	27863
289	4724	27855
290	4738	27826
291	4752	27799
292	4768	27780
293	4775	27711
294	4789	27682
295	4803	27654
296	4817	27625
297	4821	27539
298	4835	27509
299	4839	27424
300	4853	27394
301	4867	27365
302	4877	27317
303	4884	27252
304	4898	27222
305	4902	27140
306	4918	27123
307	4932	27097
308	4947	27074
309	4956	27019
310	4970	26992
311	4986	26978
312	5000	26952
313	5015	26929
314	5029	26904
315	5040	26861
316	5054	26835
317	5068	26809
318	5082	26783
319	5097	26764
320	5102	26687
321	5119	26679
322	5136	26668
323	5152	26655
324	5169	26642
325	5185	26629
326	5202	26617
327	5225	26637
328	5241	26619
329	5248	26561
330	5253	26488
331	5269	26474
332	5285	26460
333	5304	26458
334	5320	26441
335	5335	26425
336	5344	26374
337	5348	26301
338	5365	26289
339	5371	26226
340	5387	26212
341	5399	26175
342	5410	26135
343	5421	26096
344	5434	26072
345	5448	26048
346	5456	25992
347	5470	25968
348	5484	25945
349	5488	25875
350	5502	25851
351	5516	25828
352	5530	25804
353	5534	25734
354	5548	25710
355	5552	25642
356	5566	25620
357	5577	25581
358	5591	25558
359	5605	25535
360	5620	25516
361	5634	25493
362	5648	25470
363	5652	25403
364	5662	25365
365	5676	25344
366	5693	25331
367	5707	25311
368	5725	25308
369	5738	25279
370	5753	25260
371	5767	25239
372	5781	25217
373	5785	25152
374	5789	25088
375	5794	25025
376	5807	25002
377	5818	24968
378	5826	24921
379	5837	24885
380	5851	24863
381	5865	24842
382	5879	24821
383	5893	24802
384	5897	24740
385	5902	24678
386	5916	24659
387	5923	24610
388	5938	24594
389	5952	24574
390	5956	24513
391	5970	24492
392	5981	24459
393	5996	24441
394	6010	24421
395	6024	24401
396	6038	24380
397	6052	24360
398	6066	24340
399	6080	24320
400	6087	24273
401	6101	24252
402	6111	24219
403	6125	24199
404	6139	24178
405	6153	24159
406	6167	24139
407	6181	24120
408	6195	24100
409	6199	24043
410	6207	23999
411	6221	23980
412	6228	23935
413	6233	23878
414	6237	23822
415	6241	23765
416	6248	23720
417	6263	23706
418	6277	23687
419	6292	23670
420	6302	23639
421	6316	23621
422	6327	23591
423	6338	23560
424	6352	23542
425	6363	23511
426	6377	23492
427	6381	23438
428	6395	23420
429	6402	23378
430	6416	23359
431	6424	23317
432	6438	23299
433	6448	23269
434	6456	23226
435	6469	23208
436	6483	23190
437	6494	23161
438	6498	23108
439	6512	23090
440	6519	23049
441	6524	22996
442	6534	22967
443	6548	22950
444	6556	22910
445	6563	22870
446	6578	22854
447	6585	22814
448	6599	22797
449	6603	22746
450	6617	22729
451	6632	22713
452	6639	22673
453	6643	22622
454	6648	22574
455	6652	22524
456	6659	22485
457	6670	22458
458	6677	22419
459	6691	22402
460	6705	22385
461	6709	22336
462	6723	22319
463	6737	22304
464	6745	22266
465	6749	22218
466	6763	22202
467	6771	22165
468	6785	22149
469	6799	22133
470	6812	22116
471	6826	22100
472	6840	22084
473	6848	22047
474	6864	22039
475	6879	22026
476	6895	22015
477	6905	21988
478	6909	21941
479	6923	21925
480	6939	21914
481	6947	21881
482	6962	21866
483	6976	21852
484	6990	21836
485	6997	21800
486	7011	21784
487	7016	21738
488	7020	21692
489	7027	21656
490	7041	21640
491	7055	21625
492	7069	21609
493	7080	21584
494	7093	21568
495	7108	21554
496	7119	21529
497	7133	21514
498	7147	21498
499	7161	21483
500	7174	21467
501	7189	21452
502	7203	21437
503	7217	21423
504	7231	21408
505	7245	21393
506	7252	21358
507	7266	21342
508	7280	21327
509	7294	21311
510	7308	21295
511	7324	21285
512	7337	21269
513	7345	21235
514	7356	21211
515	7366	21186
516	7380	21171
517	7394	21156
518	7408	21140
519	7422	21125
520	7436	21110
521	7447	21085
522	7454	21052
523	7468	21038
524	7482	21022
525	7486	20980
526	7497	20956
527	7511	20941
528	7525	20926
529	7539	20911
530	7543	20869
531	7557	20854
532	7571	20839
533	7575	20797
534	7589	20782
535	7596	20749
536	7610	20735
537	7618	20703
538	7633	20689
539	7637	20649
540	7651	20635
541	7662	20611
542	7666	20570
543	7682	20562
544	7698	20552
545	7713	20540
546	7727	20526
547	7731	20485
548	7745	20471
549	7759	20456
550	7773	20441
551	7787	20427
552	7797	20403
553	7811	20389
554	7825	20374
555	7839	20358
556	7852	20344
557	7863	20322
558	7877	20307
559	7888	20284
560	7901	20268
561	7915	20254
562	7919	20214
563	7930	20191
564	7944	20177
565	7948	20138
566	7964	20130
567	7979	20116
568	7993	20102
569	7997	20064
570	8011	20050
571	8025	20036
572	8039	20022
573	8056	20013
574	8073	20008
575	8091	20004
576	8109	19999
577	8127	19995
578	8145	19991
579	8164	19987
580	8182	19984
581	8199	19978
582	8217	19973
583	8235	19967
584	8252	19960
585	8261	19935
586	8281	19935
587	8291	19910
588	8296	19874
589	8313	19868
590	8334	19871
591	8353	19866
592	8370	19860
593	8388	19856
594	8407	19853
595	8424	19846
596	8442	19839
597	8455	19824
598	8469	19809
599	8483	19794
600	8487	19757
601	8501	19741
602	8514	19726
603	8519	19689
604	8529	19667
605	8543	19652
606	8554	19631
607	8568	19617
608	8572	19580
609	8579	19550
610	8594	19537
611	8608	19522
612	8612	19486
613	8616	19450
614	8630	19436
615	8644	19422
616	8655	19400
617	8668	19385
618	8682	19370
619	8696	19356
620	8711	19344
621	8724	19329
622	8738	19315
623	8752	19301
624	8766	19287
625	8780	19272
626	8791	19250
627	8804	19235
628	8812	19207
629	8826	19193
630	8840	19179
631	8854	19165
632	8861	19137
633	8875	19123
634	8889	19109
635	8893	19073
636	8907	19059
637	8922	19047
638	8930	19020
639	8947	19014
640	8961	19000
641	8975	18985
642	8989	18971
643	9003	18956
644	9017	18942
645	9027	18922
646	9041	18908
647	9055	18893
648	9066	18872
649	9080	18858
650	9094	18844
651	9108	18831
652	9122	18817
653	9129	18789
654	9143	18775
655	9157	18761
656	9170	18746
657	9181	18725
658	9195	18711
659	9209	18697
660	9223	18683
661	9237	18671
662	9248	18650
663	9252	18616
664	9266	18602
665	9280	18588
666	9294	18574
667	9308	18560
668	9322	18546
669	9335	18532
670	9349	18518
671	9354	18485
672	9367	18471
673	9378	18450
674	9392	18436
675	9406	18422
676	9420	18409
677	9434	18395
678	9448	18381
679	9462	18368
680	9476	18355
681	9490	18341
682	9504	18326
683	9517	18312
684	9528	18291
685	9538	18271
686	9553	18259
687	9567	18245
688	9581	18231
689	9595	18217
690	9609	18203
691	9623	18189
692	9634	18169
693	9641	18143
694	9655	18129
695	9659	18097
696	9674	18085
697	9690	18075
698	9704	18062
699	9718	18048
700	9729	18028
701	9736	18002
702	9750	17989
703	9764	17975
704	9777	17960
705	9791	17946
706	9805	17932
707	9819	17918
708	9829	17898
709	9843	17885
710	9847	17853
711	9861	17840
712	9875	17826
713	9879	17794
714	9893	17780
715	9897	17749
716	9911	17735
717	9926	17724
718	9934	17698
719	9948	17686
720	9956	17661
721	9970	17647
722	9984	17635
723	9989	17605
724	9993	17574
725	10007	17560
726	10020	17546
